id,created_at,User_Id,Slot_Id,class_room,Notes,Class_Id
19,2025-07-30 04:54:00.047743+00,2,1,Room A,,2
20,2025-07-30 04:54:00.047743+00,2,2,Room A,,2
21,2025-07-30 04:54:00.047743+00,2,3,Room A,,2
22,2025-07-30 04:54:00.047743+00,2,4,Room A,,2
23,2025-07-30 04:54:00.047743+00,2,5,Room A,,2
24,2025-07-30 04:54:00.047743+00,2,6,Room A,,2
25,2025-07-30 04:54:00.047743+00,2,7,Room B,,3
26,2025-07-30 04:54:00.047743+00,2,8,Room B,,3
27,2025-07-30 04:54:00.047743+00,2,9,Room B,,3
28,2025-07-30 04:54:00.047743+00,2,11,Room B,,3
29,2025-07-30 04:54:00.047743+00,2,12,Room B,,3
30,2025-07-30 04:54:00.047743+00,2,13,Room B,,3
31,2025-07-30 04:54:00.047743+00,2,14,Room C,,7
32,2025-07-30 04:54:00.047743+00,2,15,Room C,,7
33,2025-07-30 04:54:00.047743+00,2,16,Room C,,7
34,2025-07-30 04:54:00.047743+00,2,17,Room C,,7
35,2025-07-30 04:54:00.047743+00,2,18,Room C,,7
36,2025-07-30 04:54:00.047743+00,2,19,Room C,,7
