id,day_of_week,slot_index,start_time,end_time
1,Monday,1,8:30:00,9:30:00
2,Monday,2,9:30:00,10:30:00
3,Monday,3,10:30:00,11:30:00
4,Monday,4,11:30:00,12:30:00
5,Monday,5,14:30:00,15:30:00
6,Monday,6,15:30:00,16:30:00
7,Monday,7,16:30:00,17:30:00
8,Monday,8,17:30:00,18:30:00
9,Monday,9,19:00:00,21:00:00
10,Tuesday,1,8:30:00,9:30:00
11,Tuesday,2,9:30:00,10:30:00
12,Tuesday,3,10:30:00,11:30:00
13,Tuesday,4,11:30:00,12:30:00
14,Tuesday,5,14:30:00,15:30:00
15,Tuesday,6,15:30:00,16:30:00
16,Tuesday,7,16:30:00,17:30:00
17,Tuesday,8,17:30:00,18:30:00
18,Tuesday,9,19:00:00,21:00:00
19,Wednesday,1,8:30:00,9:30:00
20,Wednesday,2,9:30:00,10:30:00
21,Wednesday,3,10:30:00,11:30:00
22,Wednesday,4,11:30:00,12:30:00
23,Wednesday,5,14:30:00,15:30:00
24,Wednesday,6,15:30:00,16:30:00
25,Wednesday,7,16:30:00,17:30:00
26,Wednesday,8,17:30:00,18:30:00
27,Wednesday,9,19:00:00,21:00:00
28,Thursday,1,8:30:00,9:30:00
29,Thursday,2,9:30:00,10:30:00
30,Thursday,3,10:30:00,11:30:00
31,Thursday,4,11:30:00,12:30:00
32,Thursday,5,14:30:00,15:30:00
33,Thursday,6,15:30:00,16:30:00
34,Thursday,7,16:30:00,17:30:00
35,Thursday,8,17:30:00,18:30:00
36,Thursday,9,19:00:00,21:00:00
37,Friday,1,8:30:00,9:30:00
38,Friday,2,9:30:00,10:30:00
39,Friday,3,10:30:00,11:30:00
40,Friday,4,11:30:00,12:30:00
41,Friday,5,14:30:00,15:30:00
42,Friday,6,15:30:00,16:30:00
43,Friday,7,16:30:00,17:30:00
44,Friday,8,17:30:00,18:30:00
45,Friday,9,19:00:00,21:00:00
46,Saturday,1,8:30:00,9:30:00
47,Saturday,2,9:30:00,10:30:00
48,Saturday,3,10:30:00,11:30:00
49,Saturday,4,11:30:00,12:30:00
50,Saturday,5,14:30:00,15:30:00
51,Saturday,6,15:30:00,16:30:00
52,Saturday,7,16:30:00,17:30:00
53,Saturday,8,17:30:00,18:30:00
54,Saturday,9,19:00:00,21:00:00
55,Sunday,1,8:30:00,9:30:00
56,Sunday,2,9:30:00,10:30:00
57,Sunday,3,10:30:00,11:30:00
58,Sunday,4,11:30:00,12:30:00
59,Sunday,5,14:30:00,15:30:00
60,Sunday,6,15:30:00,16:30:00
61,Sunday,7,16:30:00,17:30:00
62,Sunday,8,17:30:00,18:30:00
63,Sunday,9,19:00:00,21:00:00
